net,length_um
_0173_,227.935
_0077_,217.06
_0142_,212.325
_0100_,208.68
_0066_,198.14
_0193_,196.9
_0055_,196.86
_0145_,181.38
_0111_,179.98
_0130_,171.935
_0093_,162.98
_0094_,154.75
net3,147.98
clknet_2_2__leaf_clk,138.77
_0207_,137.42
clknet_2_1__leaf_clk,136.54
_0107_,134.79
_0114_,133.22
net4,133.18
clknet_2_3__leaf_clk,131.4
_0048_,131.1
_0087_,123.87
_0084_,123.64
_0117_,123.12
clknet_2_0__leaf_clk,116.56
_0112_,111.39
_0212_,109.41
_0214_,105.31
net5,102.6
_0321_,76.5
reg_data\[19\],73.34
reg_data\[13\],72.31
_0291_,70.72
reg_data\[22\],69.65
reg_data\[29\],67.05
reg_data\[1\],66.56
_0378_,65.8
reg_data\[0\],65.74
_0376_,65.7
reg_data\[28\],62.56
_0400_,61.7
net6,61.26
reg_data\[20\],60.115
_0326_,59.22
clk,57.56
_0346_,56.44
_0267_,56.3
clknet_0_clk,54.88
reg_data\[21\],53.835
_0124_,51.28
net2,50.36
reg_data\[15\],49.28
reg_data\[18\],49.14
reg_data\[9\],47.28
reg_data\[24\],47.18
_0189_,46.67
reg_data\[11\],46.6
reg_data\[25\],46.28
_0387_,45.78
reg_data\[10\],45.76
reg_data\[16\],45.42
_0388_,45.24
reg_data\[26\],44.82
_0413_,44.06
reg_data\[8\],43.735
reg_data\[17\],43.67
reg_data\[5\],43.4
reg_data\[14\],42.74
reg_data\[3\],39.3
reg_data\[23\],38.5
_0147_,37.755
_0128_,36.54
_0216_,36.32
_0430_,36.18
_0235_,36.1
_0091_,36.02
_0210_,34.72
reg_data\[30\],33.7
reg_data\[2\],33.56
net1,33.24
reg_data\[31\],32.97
_0180_,32.22
reg_data\[12\],32.04
_0313_,31.9
_0125_,31.8
_0183_,30.98
_0434_,30.46
_0199_,29.52
_0447_,29.42
_0386_,28.175
_0157_,27.28
_0305_,27.2
_0393_,27.19
_0459_,24.94
_0300_,24.34
_0360_,24
_0090_,23.36
reg_data\[7\],23.095
_0134_,22.88
_0462_,22.56
_0101_,21.78
_0152_,20.7
_0177_,20.7
_0131_,20.2
_0491_,20.2
reg_data\[4\],20.08
_0486_,19.76
_0205_,19.66
_0270_,19.47
_0234_,19.28
reg_data\[6\],18.88
_0160_,18.54
_0370_,18.54
_0250_,18.46
_0244_,18.38
_0442_,17.62
_0474_,17.62
_0448_,17.46
_0299_,17.42
_0226_,17.18
_0417_,17.1
_0096_,16.9
_0089_,16.66
reg_data\[27\],16.34
_0271_,16.24
_0139_,16.1
_0325_,16.02
_0228_,15.91
_0297_,15.86
net11,15.56
_0109_,15.44
_0342_,15.34
_0381_,15.34
_0409_,15.2
_0440_,14.94
_0478_,14.92
_0302_,14.89
_0148_,14.88
_0260_,14.86
_0358_,14.64
_0209_,14.4
_0366_,14.38
_0140_,14.36
_0259_,14.34
_0239_,14.28
_0294_,14.26
_0154_,14.1
_0092_,14.06
_0269_,14.06
_0441_,14.04
_0333_,14
_0488_,13.96
_0274_,13.88
_0507_,13.85
_0286_,13.84
_0118_,13.8
_0106_,13.72
_0452_,13.72
_0086_,13.44
_0253_,13.42
_0247_,13.2
_0480_,13.14
_0254_,13.12
_0479_,13.12
_0238_,13.02
_0402_,12.98
_0161_,12.96
_0337_,12.94
data_in,12.62
_0169_,12.6
_0319_,12.28
_0439_,12.28
op[2],12.28
_0064_,12.2
op[1],12.16
_0506_,12
_0217_,11.87
_0391_,11.84
_0176_,11.66
_0493_,11.64
_0395_,11.58
_0317_,11.56
_0423_,11.56
_0306_,11.52
_0208_,11.39
_0496_,11.32
net21,11.32
_0308_,11.26
_0461_,11.26
_0327_,11.2
_0438_,11.18
_0454_,11.14
_0421_,11.1
_0263_,10.96
_0138_,10.94
_0192_,10.8
_0433_,10.78
_0335_,10.76
_0137_,10.745
_0379_,10.7
_0127_,10.52
_0221_,10.5
_0329_,10.47
_0368_,10.46
_0334_,10.36
_0280_,10.32
_0424_,10.3
_0364_,10.18
result[14],10.13
result[15],10.13
_0309_,10.12
_0265_,10
_0181_,9.965
_0311_,9.96
_0356_,9.9
_0272_,9.895
result[3],9.89
_0318_,9.82
_0098_,9.7
_0104_,9.7
_0182_,9.7
_0394_,9.7
_0374_,9.68
result[4],9.67
_0179_,9.66
_0354_,9.64
_0211_,9.58
_0167_,9.555
_0512_,9.52
en_in,9.52
_0405_,9.495
_0505_,9.44
net28,9.42
_0382_,9.41
_0103_,9.4
op[0],9.4
_0132_,9.38
_0504_,9.36
_0453_,9.28
_0304_,9.08
_0350_,9.06
_0166_,9.02
_0285_,9.02
_0445_,8.92
net16,8.9
_0119_,8.82
_0472_,8.62
_0122_,8.6
_0310_,8.56
_0432_,8.54
net24,8.52
_0328_,8.5
_0407_,8.495
_0240_,8.365
_0403_,8.32
_0301_,8.24
_0349_,8.2
net8,8.16
net14,8.16
net17,8.16
_0165_,8.12
_0276_,8.12
_0281_,8.12
_0164_,8.1
_0218_,8
_0303_,8
_0082_,7.98
_0495_,7.98
_0051_,7.94
_0404_,7.9
_0201_,7.86
_0416_,7.84
_0275_,7.8
_0362_,7.68
_0330_,7.67
_0200_,7.64
_0516_,7.64
_0377_,7.6
_0298_,7.56
_0435_,7.56
_0162_,7.52
_0242_,7.32
_0191_,7.3
_0231_,7.24
_0062_,7.18
net30,7.1
_0397_,7.08
net10,7.08
_0068_,7.06
_0204_,7.06
_0113_,6.98
_0150_,6.98
_0282_,6.98
_0450_,6.98
_0340_,6.94
_0380_,6.94
result[9],6.89
_0477_,6.88
_0232_,6.82
_0463_,6.82
_0288_,6.78
_0075_,6.76
_0197_,6.76
_0014_,6.745
_0141_,6.72
result[11],6.67
result[5],6.67
_0059_,6.64
_0060_,6.64
_0070_,6.64
_0074_,6.64
_0178_,6.64
_0331_,6.62
net15,6.62
_0143_,6.6
_0372_,6.6
net18,6.48
_0159_,6.4
_0425_,6.4
_0503_,6.36
_0389_,6.32
_0056_,6.3
_0063_,6.3
_0196_,6.3
_0261_,6.3
_0351_,6.28
_0049_,6.26
_0135_,6.26
_0502_,6.24
result[13],6.21
result[1],6.21
_0341_,6.2
_0498_,6.18
net33,6.18
_0436_,6.16
_0102_,6.14
_0258_,6.14
_0287_,6.06
_0420_,6.06
_0085_,6.04
_0227_,6.04
_0020_,6.005
result[2],5.99
_0222_,5.955
_0345_,5.94
_0449_,5.94
_0484_,5.94
_0057_,5.84
_0095_,5.84
_0295_,5.84
_0473_,5.84
_0509_,5.82
_0251_,5.8
_0451_,5.74
_0171_,5.73
_0249_,5.72
_0284_,5.72
_0446_,5.72
net12,5.72
_0151_,5.68
_0428_,5.68
_0494_,5.68
result[7],5.65
net23,5.62
_0168_,5.6
_0431_,5.6
_0144_,5.58
result[12],5.53
result[6],5.53
_0225_,5.48
net19,5.44
_0203_,5.4
_0257_,5.4
net29,5.4
_0054_,5.34
_0110_,5.34
result[10],5.31
result[8],5.31
_0273_,5.28
_0392_,5.28
_0466_,5.28
net9,5.28
_0202_,5.26
_0348_,5.26
_0514_,5.26
_0316_,5.23
_0153_,5.22
_0489_,5.22
_0343_,5.16
_0429_,5.16
net7,5.1
net20,5.1
_0229_,5.06
_0004_,5.045
_0357_,4.94
_0058_,4.92
_0073_,4.92
_0001_,4.885
_0079_,4.88
result[0],4.85
_0170_,4.81
_0369_,4.8
net34,4.8
_0021_,4.755
_0363_,4.7
_0398_,4.7
net13,4.68
_0219_,4.615
_0314_,4.56
_0323_,4.5
_0133_,4.48
_0163_,4.46
